RANKING_ID,TEAM_ID,STANDINGSDATE,CONFERENCE,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD
1,1610612747,2020-03-01,West,59,46,13,0.78,21-7,25-6
2,1610612743,2020-03-01,West,60,41,19,0.68,24-7,17-12
3,1610612746,2020-03-01,West,60,41,19,0.68,25-6,16-13
4,1610612745,2020-03-01,West,59,39,20,0.66,21-8,18-12
5,1610612762,2020-03-01,West,59,37,22,0.63,21-9,16-13
6,1610612760,2020-03-01,West,60,37,23,0.62,20-12,17-11
7,1610612742,2020-03-01,West,61,37,24,0.61,16-14,21-10
8,1610612763,2020-03-01,West,60,29,31,0.48,17-14,12-17
9,1610612740,2020-03-01,West,60,26,34,0.43,12-18,14-16
10,1610612758,2020-03-01,West,60,26,34,0.43,13-15,13-19
11,1610612759,2020-03-01,West,58,25,33,0.43,15-13,10-20
12,1610612757,2020-03-01,West,61,26,35,0.43,16-13,10-22
13,1610612756,2020-03-01,West,61,24,37,0.39,11-21,13-16
14,1610612750,2020-03-01,West,59,17,42,0.29,7-22,10-20
15,1610612744,2020-03-01,West,61,13,48,0.21,7-24,6-24
16,1610612747,2020-02-29,West,58,45,13,0.78,21-7,24-6
17,1610612743,2020-02-29,West,59,40,19,0.68,23-7,17-12
18,1610612746,2020-02-29,West,59,40,19,0.68,24-6,16-13
19,1610612745,2020-02-29,West,59,39,20,0.66,21-8,18-12
20,1610612762,2020-02-29,West,59,37,22,0.63,21-9,16-13
21,1610612760,2020-02-29,West,60,37,23,0.62,20-12,17-11
22,1610612742,2020-02-29,West,60,36,24,0.6,16-14,20-10
23,1610612763,2020-02-29,West,60,29,31,0.48,17-14,12-17
24,1610612740,2020-02-29,West,59,26,33,0.44,12-17,14-16
25,1610612759,2020-02-29,West,58,25,33,0.43,15-13,10-20
26,1610612757,2020-02-29,West,61,26,35,0.43,16-13,10-22
27,1610612758,2020-02-29,West,59,25,34,0.42,12-15,13-19
28,1610612756,2020-02-29,West,61,24,37,0.39,11-21,13-16
29,1610612750,2020-02-29,West,58,17,41,0.29,7-21,10-20
30,1610612744,2020-02-29,West,60,13,47,0.22,7-23,6-24
31,1610612747,2020-02-28,West,57,45,12,0.79,21-7,24-5
32,1610612743,2020-02-28,West,59,40,19,0.68,23-7,17-12
33,1610612746,2020-02-28,West,59,40,19,0.68,24-6,16-13
34,1610612745,2020-02-28,West,58,38,20,0.66,21-8,17-12
35,1610612762,2020-02-28,West,59,37,22,0.63,21-9,16-13
36,1610612760,2020-02-28,West,60,37,23,0.62,20-12,17-11
37,1610612742,2020-02-28,West,60,36,24,0.6,16-14,20-10
38,1610612763,2020-02-28,West,59,28,31,0.47,16-14,12-17
39,1610612740,2020-02-28,West,59,26,33,0.44,12-17,14-16
40,1610612757,2020-02-28,West,60,26,34,0.43,16-13,10-21
41,1610612758,2020-02-28,West,59,25,34,0.42,12-15,13-19
42,1610612759,2020-02-28,West,57,24,33,0.42,14-13,10-20
43,1610612756,2020-02-28,West,60,24,36,0.4,11-20,13-16
44,1610612750,2020-02-28,West,58,17,41,0.29,7-21,10-20
45,1610612744,2020-02-28,West,59,12,47,0.2,7-23,5-24
46,1610612747,2020-02-27,West,57,45,12,0.79,21-7,24-5
47,1610612743,2020-02-27,West,58,40,18,0.69,23-7,17-11
48,1610612746,2020-02-27,West,58,39,19,0.67,23-6,16-13
49,1610612745,2020-02-27,West,58,38,20,0.66,21-8,17-12
50,1610612760,2020-02-27,West,59,37,22,0.63,20-12,17-10
51,1610612762,2020-02-27,West,58,36,22,0.62,20-9,16-13
52,1610612742,2020-02-27,West,59,36,23,0.61,16-14,20-9
53,1610612763,2020-02-27,West,58,28,30,0.48,16-13,12-17
54,1610612757,2020-02-27,West,60,26,34,0.43,16-13,10-21
55,1610612740,2020-02-27,West,58,25,33,0.43,11-17,14-16
56,1610612759,2020-02-27,West,57,24,33,0.42,14-13,10-20
57,1610612758,2020-02-27,West,58,24,34,0.41,12-15,12-19
58,1610612756,2020-02-27,West,59,24,35,0.41,11-19,13-16
59,1610612750,2020-02-27,West,57,17,40,0.3,7-21,10-19
60,1610612744,2020-02-27,West,59,12,47,0.2,7-23,5-24
61,1610612747,2020-02-26,West,56,44,12,0.79,21-7,23-5
62,1610612743,2020-02-26,West,58,40,18,0.69,23-7,17-11
63,1610612746,2020-02-26,West,58,39,19,0.67,23-6,16-13
64,1610612745,2020-02-26,West,58,38,20,0.66,21-8,17-12
65,1610612760,2020-02-26,West,58,36,22,0.62,19-12,17-10
66,1610612762,2020-02-26,West,58,36,22,0.62,20-9,16-13
67,1610612742,2020-02-26,West,59,36,23,0.61,16-14,20-9
68,1610612763,2020-02-26,West,58,28,30,0.48,16-13,12-17
69,1610612757,2020-02-26,West,59,26,33,0.44,16-13,10-20
70,1610612740,2020-02-26,West,58,25,33,0.43,11-17,14-16
71,1610612758,2020-02-26,West,57,24,33,0.42,12-15,12-18
72,1610612759,2020-02-26,West,57,24,33,0.42,14-13,10-20
73,1610612756,2020-02-26,West,59,24,35,0.41,11-19,13-16
74,1610612750,2020-02-26,West,57,17,40,0.3,7-21,10-19
75,1610612744,2020-02-26,West,58,12,46,0.21,7-22,5-24
76,1610612747,2020-02-25,West,56,44,12,0.79,21-7,23-5
77,1610612743,2020-02-25,West,58,40,18,0.69,23-7,17-11
78,1610612746,2020-02-25,West,57,38,19,0.67,23-6,15-13
79,1610612745,2020-02-25,West,57,37,20,0.65,20-8,17-12
80,1610612762,2020-02-25,West,57,36,21,0.63,20-8,16-13
81,1610612760,2020-02-25,West,58,36,22,0.62,19-12,17-10
82,1610612742,2020-02-25,West,58,35,23,0.6,16-14,19-9
83,1610612763,2020-02-25,West,57,28,29,0.49,16-13,12-16
84,1610612757,2020-02-25,West,59,26,33,0.44,16-13,10-20
85,1610612740,2020-02-25,West,58,25,33,0.43,11-17,14-16
86,1610612759,2020-02-25,West,56,24,32,0.43,14-12,10-20
87,1610612758,2020-02-25,West,57,24,33,0.42,12-15,12-18
88,1610612756,2020-02-25,West,58,24,34,0.41,11-18,13-16
89,1610612750,2020-02-25,West,56,16,40,0.29,7-21,9-19
90,1610612744,2020-02-25,West,58,12,46,0.21,7-22,5-24
91,1610612747,2020-02-24,West,55,43,12,0.78,20-7,23-5
92,1610612743,2020-02-24,West,57,39,18,0.68,22-7,17-11
93,1610612746,2020-02-24,West,57,38,19,0.67,23-6,15-13
94,1610612745,2020-02-24,West,57,37,20,0.65,20-8,17-12
95,1610612762,2020-02-24,West,57,36,21,0.63,20-8,16-13
96,1610612760,2020-02-24,West,57,35,22,0.61,19-12,16-10
97,1610612742,2020-02-24,West,58,35,23,0.6,16-14,19-9
98,1610612763,2020-02-24,West,57,28,29,0.49,16-13,12-16
99,1610612757,2020-02-24,West,58,26,32,0.45,16-12,10-20
100,1610612740,2020-02-24,West,57,25,32,0.44,11-17,14-15
101,1610612759,2020-02-24,West,56,24,32,0.43,14-12,10-20
102,1610612756,2020-02-24,West,58,24,34,0.41,11-18,13-16
103,1610612758,2020-02-24,West,56,23,33,0.41,12-15,11-18
104,1610612750,2020-02-24,West,56,16,40,0.29,7-21,9-19
105,1610612744,2020-02-24,West,57,12,45,0.21,7-21,5-24
106,1610612747,2020-02-23,West,55,43,12,0.78,20-7,23-5
107,1610612743,2020-02-23,West,57,39,18,0.68,22-7,17-11
108,1610612746,2020-02-23,West,56,37,19,0.66,22-6,15-13
109,1610612745,2020-02-23,West,56,36,20,0.64,19-8,17-12
110,1610612762,2020-02-23,West,56,36,20,0.64,20-7,16-13
111,1610612760,2020-02-23,West,57,35,22,0.61,19-12,16-10
112,1610612742,2020-02-23,West,57,34,23,0.6,15-14,19-9
113,1610612763,2020-02-23,West,56,28,28,0.5,16-13,12-15
114,1610612757,2020-02-23,West,58,26,32,0.45,16-12,10-20
115,1610612740,2020-02-23,West,57,25,32,0.44,11-17,14-15
116,1610612759,2020-02-23,West,56,24,32,0.43,14-12,10-20
117,1610612758,2020-02-23,West,56,23,33,0.41,12-15,11-18
118,1610612756,2020-02-23,West,57,23,34,0.4,11-18,12-16
119,1610612750,2020-02-23,West,55,16,39,0.29,7-21,9-18
120,1610612744,2020-02-23,West,57,12,45,0.21,7-21,5-24
121,1610612747,2020-02-22,West,54,42,12,0.78,19-7,23-5
122,1610612743,2020-02-22,West,56,38,18,0.68,21-7,17-11
123,1610612746,2020-02-22,West,56,37,19,0.66,22-6,15-13
124,1610612745,2020-02-22,West,56,36,20,0.64,19-8,17-12
125,1610612762,2020-02-22,West,56,36,20,0.64,20-7,16-13
126,1610612760,2020-02-22,West,56,34,22,0.61,18-12,16-10
127,1610612742,2020-02-22,West,57,34,23,0.6,15-14,19-9
128,1610612763,2020-02-22,West,56,28,28,0.5,16-13,12-15
129,1610612757,2020-02-22,West,57,25,32,0.44,15-12,10-20
130,1610612759,2020-02-22,West,55,24,31,0.44,14-12,10-19
131,1610612740,2020-02-22,West,56,24,32,0.43,11-17,13-15
132,1610612758,2020-02-22,West,56,23,33,0.41,12-15,11-18
133,1610612756,2020-02-22,West,57,23,34,0.4,11-18,12-16
134,1610612750,2020-02-22,West,54,16,38,0.3,7-21,9-17
135,1610612744,2020-02-22,West,56,12,44,0.21,7-20,5-24
136,1610612747,2020-02-21,West,54,42,12,0.78,19-7,23-5
137,1610612743,2020-02-21,West,56,38,18,0.68,21-7,17-11
138,1610612746,2020-02-21,West,55,37,18,0.67,22-5,15-13
139,1610612762,2020-02-21,West,55,36,19,0.65,20-6,16-13
140,1610612745,2020-02-21,West,55,35,20,0.64,19-8,16-12
141,1610612742,2020-02-21,West,56,34,22,0.61,15-14,19-8
142,1610612760,2020-02-21,West,56,34,22,0.61,18-12,16-10
143,1610612763,2020-02-21,West,56,28,28,0.5,16-13,12-15
144,1610612757,2020-02-21,West,57,25,32,0.44,15-12,10-20
145,1610612759,2020-02-21,West,55,24,31,0.44,14-12,10-19
146,1610612740,2020-02-21,West,56,24,32,0.43,11-17,13-15
147,1610612758,2020-02-21,West,55,22,33,0.4,12-15,10-18
148,1610612756,2020-02-21,West,56,22,34,0.39,11-18,11-16
149,1610612750,2020-02-21,West,54,16,38,0.3,7-21,9-17
150,1610612744,2020-02-21,West,56,12,44,0.21,7-20,5-24
151,1610612747,2020-02-20,West,53,41,12,0.77,18-7,23-5
152,1610612743,2020-02-20,West,55,38,17,0.69,21-7,17-10
153,1610612746,2020-02-20,West,55,37,18,0.67,22-5,15-13
154,1610612762,2020-02-20,West,54,36,18,0.67,20-5,16-13
155,1610612745,2020-02-20,West,55,35,20,0.64,19-8,16-12
156,1610612742,2020-02-20,West,55,33,22,0.6,15-14,18-8
157,1610612760,2020-02-20,West,55,33,22,0.6,17-12,16-10
158,1610612763,2020-02-20,West,55,28,27,0.51,16-13,12-14
159,1610612757,2020-02-20,West,56,25,31,0.45,15-11,10-20
160,1610612759,2020-02-20,West,54,23,31,0.43,14-12,9-19
161,1610612740,2020-02-20,West,55,23,32,0.42,11-17,12-15
162,1610612756,2020-02-20,West,55,22,33,0.4,11-18,11-15
163,1610612758,2020-02-20,West,55,22,33,0.4,12-15,10-18
164,1610612750,2020-02-20,West,53,16,37,0.3,7-20,9-17
165,1610612744,2020-02-20,West,56,12,44,0.21,7-20,5-24
166,1610612747,2020-02-19,West,53,41,12,0.77,18-7,23-5
167,1610612743,2020-02-19,West,55,38,17,0.69,21-7,17-10
168,1610612746,2020-02-19,West,55,37,18,0.67,22-5,15-13
169,1610612762,2020-02-19,West,54,36,18,0.67,20-5,16-13
170,1610612745,2020-02-19,West,54,34,20,0.63,19-8,15-12
171,1610612742,2020-02-19,West,55,33,22,0.6,15-14,18-8
172,1610612760,2020-02-19,West,55,33,22,0.6,17-12,16-10
173,1610612763,2020-02-19,West,54,28,26,0.52,16-13,12-13
174,1610612757,2020-02-19,West,56,25,31,0.45,15-11,10-20
175,1610612759,2020-02-19,West,54,23,31,0.43,14-12,9-19
176,1610612740,2020-02-19,West,55,23,32,0.42,11-17,12-15
177,1610612756,2020-02-19,West,55,22,33,0.4,11-18,11-15
178,1610612758,2020-02-19,West,54,21,33,0.39,11-15,10-18
179,1610612750,2020-02-19,West,53,16,37,0.3,7-20,9-17
180,1610612744,2020-02-19,West,55,12,43,0.22,7-19,5-24
181,1610612747,2020-02-18,West,53,41,12,0.77,18-7,23-5
182,1610612743,2020-02-18,West,55,38,17,0.69,21-7,17-10
183,1610612746,2020-02-18,West,55,37,18,0.67,22-5,15-13
184,1610612762,2020-02-18,West,54,36,18,0.67,20-5,16-13
185,1610612745,2020-02-18,West,54,34,20,0.63,19-8,15-12
186,1610612742,2020-02-18,West,55,33,22,0.6,15-14,18-8
187,1610612760,2020-02-18,West,55,33,22,0.6,17-12,16-10
188,1610612763,2020-02-18,West,54,28,26,0.52,16-13,12-13
189,1610612757,2020-02-18,West,56,25,31,0.45,15-11,10-20
190,1610612759,2020-02-18,West,54,23,31,0.43,14-12,9-19
191,1610612740,2020-02-18,West,55,23,32,0.42,11-17,12-15
192,1610612756,2020-02-18,West,55,22,33,0.4,11-18,11-15
193,1610612758,2020-02-18,West,54,21,33,0.39,11-15,10-18
194,1610612750,2020-02-18,West,53,16,37,0.3,7-20,9-17
195,1610612744,2020-02-18,West,55,12,43,0.22,7-19,5-24
196,1610612747,2020-02-17,West,53,41,12,0.77,18-7,23-5
197,1610612743,2020-02-17,West,55,38,17,0.69,21-7,17-10
198,1610612746,2020-02-17,West,55,37,18,0.67,22-5,15-13
199,1610612762,2020-02-17,West,54,36,18,0.67,20-5,16-13
200,1610612745,2020-02-17,West,54,34,20,0.63,19-8,15-12
201,1610612742,2020-02-17,West,55,33,22,0.6,15-14,18-8
202,1610612760,2020-02-17,West,55,33,22,0.6,17-12,16-10
203,1610612763,2020-02-17,West,54,28,26,0.52,16-13,12-13
204,1610612757,2020-02-17,West,56,25,31,0.45,15-11,10-20
205,1610612759,2020-02-17,West,54,23,31,0.43,14-12,9-19
206,1610612740,2020-02-17,West,55,23,32,0.42,11-17,12-15
207,1610612756,2020-02-17,West,55,22,33,0.4,11-18,11-15
208,1610612758,2020-02-17,West,54,21,33,0.39,11-15,10-18
209,1610612750,2020-02-17,West,53,16,37,0.3,7-20,9-17
210,1610612744,2020-02-17,West,55,12,43,0.22,7-19,5-24
211,1610612747,2020-02-16,West,53,41,12,0.77,18-7,23-5
212,1610612743,2020-02-16,West,55,38,17,0.69,21-7,17-10
213,1610612746,2020-02-16,West,55,37,18,0.67,22-5,15-13
214,1610612762,2020-02-16,West,54,36,18,0.67,20-5,16-13
215,1610612745,2020-02-16,West,54,34,20,0.63,19-8,15-12
216,1610612742,2020-02-16,West,55,33,22,0.6,15-14,18-8
217,1610612760,2020-02-16,West,55,33,22,0.6,17-12,16-10
218,1610612763,2020-02-16,West,54,28,26,0.52,16-13,12-13
219,1610612757,2020-02-16,West,56,25,31,0.45,15-11,10-20
220,1610612759,2020-02-16,West,54,23,31,0.43,14-12,9-19
221,1610612740,2020-02-16,West,55,23,32,0.42,11-17,12-15
222,1610612756,2020-02-16,West,55,22,33,0.4,11-18,11-15
223,1610612758,2020-02-16,West,54,21,33,0.39,11-15,10-18
224,1610612750,2020-02-16,West,53,16,37,0.3,7-20,9-17
225,1610612744,2020-02-16,West,55,12,43,0.22,7-19,5-24
226,1610612747,2020-02-15,West,53,41,12,0.77,18-7,23-5
227,1610612743,2020-02-15,West,55,38,17,0.69,21-7,17-10
228,1610612746,2020-02-15,West,55,37,18,0.67,22-5,15-13
229,1610612762,2020-02-15,West,54,36,18,0.67,20-5,16-13
230,1610612745,2020-02-15,West,54,34,20,0.63,19-8,15-12
231,1610612742,2020-02-15,West,55,33,22,0.6,15-14,18-8
232,1610612760,2020-02-15,West,55,33,22,0.6,17-12,16-10
233,1610612763,2020-02-15,West,54,28,26,0.52,16-13,12-13
234,1610612757,2020-02-15,West,56,25,31,0.45,15-11,10-20
235,1610612759,2020-02-15,West,54,23,31,0.43,14-12,9-19
236,1610612740,2020-02-15,West,55,23,32,0.42,11-17,12-15
237,1610612756,2020-02-15,West,55,22,33,0.4,11-18,11-15
238,1610612758,2020-02-15,West,54,21,33,0.39,11-15,10-18
239,1610612750,2020-02-15,West,53,16,37,0.3,7-20,9-17
240,1610612744,2020-02-15,West,55,12,43,0.22,7-19,5-24
241,1610612747,2020-02-14,West,53,41,12,0.77,18-7,23-5
242,1610612743,2020-02-14,West,55,38,17,0.69,21-7,17-10
243,1610612746,2020-02-14,West,55,37,18,0.67,22-5,15-13
244,1610612762,2020-02-14,West,54,36,18,0.67,20-5,16-13
245,1610612745,2020-02-14,West,54,34,20,0.63,19-8,15-12
246,1610612742,2020-02-14,West,55,33,22,0.6,15-14,18-8
247,1610612760,2020-02-14,West,55,33,22,0.6,17-12,16-10
248,1610612763,2020-02-14,West,54,28,26,0.52,16-13,12-13
249,1610612757,2020-02-14,West,56,25,31,0.45,15-11,10-20
250,1610612759,2020-02-14,West,54,23,31,0.43,14-12,9-19
251,1610612740,2020-02-14,West,55,23,32,0.42,11-17,12-15
252,1610612756,2020-02-14,West,55,22,33,0.4,11-18,11-15
253,1610612758,2020-02-14,West,54,21,33,0.39,11-15,10-18
254,1610612750,2020-02-14,West,53,16,37,0.3,7-20,9-17
255,1610612744,2020-02-14,West,55,12,43,0.22,7-19,5-24
256,1610612747,2020-02-13,West,53,41,12,0.77,18-7,23-5
257,1610612743,2020-02-13,West,55,38,17,0.69,21-7,17-10
258,1610612746,2020-02-13,West,55,37,18,0.67,22-5,15-13
259,1610612762,2020-02-13,West,54,36,18,0.67,20-5,16-13
260,1610612745,2020-02-13,West,54,34,20,0.63,19-8,15-12
261,1610612742,2020-02-13,West,55,33,22,0.6,15-14,18-8
262,1610612760,2020-02-13,West,55,33,22,0.6,17-12,16-10
263,1610612763,2020-02-13,West,54,28,26,0.52,16-13,12-13
264,1610612757,2020-02-13,West,56,25,31,0.45,15-11,10-20
265,1610612759,2020-02-13,West,54,23,31,0.43,14-12,9-19
266,1610612740,2020-02-13,West,55,23,32,0.42,11-17,12-15
267,1610612756,2020-02-13,West,55,22,33,0.4,11-18,11-15
268,1610612758,2020-02-13,West,54,21,33,0.39,11-15,10-18
269,1610612750,2020-02-13,West,53,16,37,0.3,7-20,9-17
270,1610612744,2020-02-13,West,55,12,43,0.22,7-19,5-24
271,1610612747,2020-02-12,West,53,41,12,0.77,18-7,23-5
272,1610612743,2020-02-12,West,55,38,17,0.69,21-7,17-10
273,1610612746,2020-02-12,West,54,37,17,0.69,22-5,15-12
274,1610612762,2020-02-12,West,54,36,18,0.67,20-5,16-13
275,1610612745,2020-02-12,West,54,34,20,0.63,19-8,15-12
276,1610612742,2020-02-12,West,55,33,22,0.6,15-14,18-8
277,1610612760,2020-02-12,West,54,32,22,0.59,17-12,15-10
278,1610612763,2020-02-12,West,54,28,26,0.52,16-13,12-13
279,1610612757,2020-02-12,West,56,25,31,0.45,15-11,10-20
280,1610612740,2020-02-12,West,54,23,31,0.43,11-16,12-15
281,1610612759,2020-02-12,West,54,23,31,0.43,14-12,9-19
282,1610612756,2020-02-12,West,55,22,33,0.4,11-18,11-15
283,1610612758,2020-02-12,West,54,21,33,0.39,11-15,10-18
284,1610612750,2020-02-12,West,53,16,37,0.3,7-20,9-17
285,1610612744,2020-02-12,West,55,12,43,0.22,7-19,5-24
286,1610612747,2020-02-11,West,52,40,12,0.77,18-7,22-5
287,1610612743,2020-02-11,West,54,38,16,0.7,21-6,17-10
288,1610612746,2020-02-11,West,54,37,17,0.69,22-5,15-12
289,1610612762,2020-02-11,West,53,35,18,0.66,19-5,16-13
290,1610612745,2020-02-11,West,54,34,20,0.63,19-8,15-12
291,1610612742,2020-02-11,West,54,32,22,0.59,14-14,18-8
292,1610612760,2020-02-11,West,54,32,22,0.59,17-12,15-10
293,1610612763,2020-02-11,West,53,27,26,0.51,15-13,12-13
294,1610612757,2020-02-11,West,55,25,30,0.45,15-11,10-19
295,1610612740,2020-02-11,West,54,23,31,0.43,11-16,12-15
296,1610612759,2020-02-11,West,54,23,31,0.43,14-12,9-19
297,1610612758,2020-02-11,West,53,21,32,0.4,11-15,10-17
298,1610612756,2020-02-11,West,54,21,33,0.39,10-18,11-15
299,1610612750,2020-02-11,West,52,16,36,0.31,7-19,9-17
300,1610612744,2020-02-11,West,54,12,42,0.22,7-19,5-23
301,1610612747,2020-02-10,West,52,40,12,0.77,18-7,22-5
302,1610612743,2020-02-10,West,54,38,16,0.7,21-6,17-10
303,1610612746,2020-02-10,West,53,37,16,0.7,22-5,15-11
304,1610612762,2020-02-10,West,53,35,18,0.66,19-5,16-13
305,1610612745,2020-02-10,West,53,33,20,0.62,18-8,15-12
306,1610612760,2020-02-10,West,53,32,21,0.6,17-11,15-10
307,1610612742,2020-02-10,West,54,32,22,0.59,14-14,18-8
308,1610612763,2020-02-10,West,53,27,26,0.51,15-13,12-13
309,1610612757,2020-02-10,West,54,25,29,0.46,15-11,10-18
310,1610612740,2020-02-10,West,53,22,31,0.42,10-16,12-15
311,1610612759,2020-02-10,West,53,22,31,0.42,14-12,8-19
312,1610612758,2020-02-10,West,53,21,32,0.4,11-15,10-17
313,1610612756,2020-02-10,West,54,21,33,0.39,10-18,11-15
314,1610612750,2020-02-10,West,52,16,36,0.31,7-19,9-17
315,1610612744,2020-02-10,West,54,12,42,0.22,7-19,5-23
316,1610612747,2020-02-09,West,51,39,12,0.76,17-7,22-5
317,1610612743,2020-02-09,West,53,37,16,0.7,20-6,17-10
318,1610612746,2020-02-09,West,53,37,16,0.7,22-5,15-11
319,1610612762,2020-02-09,West,52,34,18,0.65,19-5,15-13
320,1610612745,2020-02-09,West,53,33,20,0.62,18-8,15-12
321,1610612742,2020-02-09,West,53,32,21,0.6,14-13,18-8
322,1610612760,2020-02-09,West,53,32,21,0.6,17-11,15-10
323,1610612763,2020-02-09,West,53,27,26,0.51,15-13,12-13
324,1610612757,2020-02-09,West,54,25,29,0.46,15-11,10-18
325,1610612759,2020-02-09,West,52,22,30,0.42,14-12,8-18
326,1610612740,2020-02-09,West,53,22,31,0.42,10-16,12-15
327,1610612758,2020-02-09,West,52,21,31,0.4,11-15,10-16
328,1610612756,2020-02-09,West,53,21,32,0.4,10-18,11-14
329,1610612750,2020-02-09,West,51,16,35,0.31,7-19,9-16
330,1610612744,2020-02-09,West,53,12,41,0.23,7-18,5-23
331,1610612747,2020-02-08,West,51,39,12,0.76,17-7,22-5
